[2026-01-29 19:30:20,977] ERROR: Gagal download BBSI.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/BBSI.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257819&period2=1769689819
[2026-01-29 19:30:20,979] INFO: [BBSI] Gagal mengambil data.
[2026-01-29 19:30:21,852] ERROR: Gagal download VTNY.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/VTNY.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257820&period2=1769689820
[2026-01-29 19:30:21,853] INFO: [VTNY] Gagal mengambil data.
[2026-01-29 19:30:21,855] ERROR: Gagal download MASB.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/MASB.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257820&period2=1769689820
[2026-01-29 19:30:21,857] INFO: [MASB] Gagal mengambil data.
[2026-01-29 19:30:22,968] INFO: [COIN] Selesai. +4 data baru.
[2026-01-29 19:30:22,970] ERROR: Gagal download YOII.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/YOII.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257820&period2=1769689820
[2026-01-29 19:30:22,973] INFO: [YOII] Gagal mengambil data.
[2026-01-29 19:33:13,693] INFO: Memulai Mining Data. Mode Full: False
[2026-01-29 19:33:14,977] ERROR: Gagal download ABDA.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/ABDA.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257993&period2=1769689993
[2026-01-29 19:33:14,979] INFO: [ABDA] Gagal mengambil data.
[2026-01-29 19:33:15,199] ERROR: Gagal download AGRO.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/AGRO.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257993&period2=1769689993
[2026-01-29 19:33:15,201] INFO: [AGRO] Gagal mengambil data.
[2026-01-29 19:33:15,413] INFO: [AGRS] Selesai. +0 data baru.
[2026-01-29 19:33:15,453] ERROR: Gagal download AHAP.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/AHAP.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257993&period2=1769689993
[2026-01-29 19:33:15,455] INFO: [AHAP] Gagal mengambil data.
[2026-01-29 19:33:15,520] INFO: [ADMF] Selesai. +4 data baru.
[2026-01-29 19:33:17,020] INFO: [ASBI] Selesai. +4 data baru.
[2026-01-29 19:33:17,062] ERROR: Gagal download AMAG.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/AMAG.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257994&period2=1769689994
[2026-01-29 19:33:17,065] INFO: [AMAG] Gagal mengambil data.
[2026-01-29 19:33:17,189] ERROR: Gagal download ARTO.JK: 429 Client Error: Too Many Requests for url: https://query1.finance.yahoo.com/v8/finance/chart/ARTO.JK?interval=1d&events=history&includeAdjustedClose=true&period1=1769257995&period2=1769689995
[2026-01-29 19:33:17,191] INFO: [ARTO] Gagal mengambil data.
